,Link,Address,Beds,Rent
162,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,1030 N Dearborn St,Studio,"$800 - $1,100"
163,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,4750 N Clarendon Ave,Studio - 1 Br,"$860 - $1,160"
164,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,333 E Ontario St,Studio - 2 Br,"$1,404 - $2,865"
165,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,525-537 S Dearborn St,Studio - 2 Br,"$1,325 - $1,995"
166,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,730 S Clark St,1-2 Br,"$1,716 - $6,182"
167,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,215 E Chestnut St,1-2 Br,"$1,600 - $3,545"
168,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,6401 N Sheridan Rd,Studio - 2 Br,"$950 - $1,595"
169,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,5240 N Sheridan Rd,Studio - 2 Br,"$925 - $1,500"
170,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,4050-4064 W 115th St,Studio - 2 Br,"$580 - $1,290"
171,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,901 S Ashland Ave,Studio - 2 Br,"$1,290 - $2,315"
172,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,40 E Oak St,Studio - 1 Br,"$1,090 - $1,680"
173,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,670 W Wayman St,1-3 Br,"$1,875 - $8,604"
174,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,1117 N Dearborn St,Studio - 1 Br,"$1,050 - $1,700"
175,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,5009 N Sheridan Rd,Studio - 2 Br,"$1,239 - $2,100"
176,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,4334 N Hazel St,Studio - 2 Br,"$1,205 - $2,985"
177,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,300 W Hill St,Studio - 3 Br,"$1,064 - $1,519"
178,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,5254 S Dorchester Ave,Studio - 2 Br,"$849 - $1,140"
179,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,1940 N Lincoln Park,Studio,"$1,025 - $1,035"
180,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,2470 N Clark St,Studio - 1 Br,"$1,492 - $1,819"
181,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,441 W Oakdale Ave,Studio - 1 Br,"$1,495 - $1,615"
182,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,515 W Briar Pl,Studio - 1 Br,"$1,225 - $1,345"
183,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,5650 N Sheridan Rd,Studio - 2 Br,"$995 - $2,000"
184,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,869 W Buena Ave,Studio - 2 Br,"$850 - $1,750"
185,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,1380 E Hyde Park Blvd,1-2 Br,"$970 - $1,402"
186,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,6104 S Woodlawn Ave,Studio - 1 Br,$628 - $995
187,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,5240 N Sheridan Rd,Studio - 2 Br,"$915 - $1,232"
188,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,5500 S Shore Dr,Studio - 2 Br,"$929 - $1,679"
189,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,4600 N Clarendon Ave,1-2 Br,"$1,175 - $1,300"
190,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,1030 N Dearborn St,Studio,"$1,045 - $1,055"
191,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,1 E Delaware Pl,Studio - 2 Br,"$1,520 - $4,140"
192,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,7427 S South Shore Dr,Studio - 2 Br,"$621 - $1,250"
193,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,1030 E 47th St,2 Br,"$1,195 - $1,280"
194,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,2150 N Lincoln Park W,1-2 Br,"$1,550 - $2,600"
195,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,10 E Ontario St,Studio - 2 Br,"$1,550 - $3,200"
196,https://web.archive.org/web/20150905085746/https://www.apartments.com/chicago-il/5/,445 E Ohio St,1-2 Br,"$1,521 - $2,377"
